cell,kind,family,severity,chain,n,n_real,n_fake,n_failed,auroc,ap,acc,tpr_at_fpr1,notes
clean,clean,clean,,clean,6810,810,6000,0,0.9639606995884773,0.9946162560289462,0.8929515418502203,0.677,
jpeg_90,single,jpeg,90,jpeg90,6810,810,6000,0,0.9604057613168724,0.9940662234958524,0.9030837004405287,0.5931666666666666,
jpeg_70,single,jpeg,70,jpeg70,6810,810,6000,0,0.9499519547325102,0.9925202424863655,0.9110132158590308,0.5768333333333333,
jpeg_50,single,jpeg,50,jpeg50,6810,810,6000,0,0.9432586419753086,0.991461996882928,0.8930983847283407,0.5423333333333333,
jpeg_30,single,jpeg,30,jpeg30,6810,810,6000,0,0.9388664609053499,0.990809852553704,0.8886930983847283,0.4656666666666667,
blur_0.5,single,blur,0.5,blur0.5,6810,810,6000,0,0.9629248971193416,0.994451047905692,0.8837004405286344,0.6623333333333333,
blur_1.0,single,blur,1.0,blur1.0,6810,810,6000,0,0.9613666666666666,0.9942120099833753,0.8402349486049927,0.632,
blur_2.0,single,blur,2.0,blur2.0,6810,810,6000,0,0.9565135802469136,0.9935692119417483,0.81071953010279,0.6283333333333333,
resize_0.5,single,resize,0.5,resize0.5,6810,810,6000,0,0.9650604938271603,0.9948077184700819,0.8534508076358297,0.665,
resize_0.25,single,resize,0.25,resize0.25,6810,810,6000,0,0.957332304526749,0.9937320727689096,0.7897209985315712,0.6418333333333334,
noise_0.02,single,noise,0.02,noise0.02,6810,810,6000,0,0.9446845679012346,0.9915392100118476,0.8832599118942731,0.546,
noise_0.05,single,noise,0.05,noise0.05,6810,810,6000,0,0.9279706790123458,0.9888645979198434,0.8370044052863436,0.4538333333333333,
noise_0.1,single,noise,0.1,noise0.1,6810,810,6000,0,0.9088549382716049,0.9859173963560948,0.7590308370044053,0.41433333333333333,
jitter_0.2,single,jitter,0.2,jitter0.2,6810,810,6000,0,0.9587096707818932,0.9939303206579669,0.88928046989721,0.6225,
center_crop_0.8,single,center_crop,0.8,center_crop0.8,6810,810,6000,0,0.9579310699588477,0.9937371384662091,0.9114537444933921,0.5908333333333333,
composed_blur1.0+jpeg70,composed,composed,,blur1.0+jpeg70,6810,810,6000,0,0.9447880658436214,0.9917404162416863,0.8983847283406755,0.5371666666666667,
composed_resize0.5+jpeg50,composed,composed,,resize0.5+jpeg50,6810,810,6000,0,0.9424372427983538,0.991293381195136,0.8958883994126284,0.5446666666666666,
composed_jitter0.2+jpeg30,composed,composed,,jitter0.2+jpeg30,6810,810,6000,0,0.931588683127572,0.9896459181036537,0.8757709251101321,0.5561666666666667,
composed_resize0.25+blur0.5+jpeg30,composed,composed,,resize0.25+blur0.5+jpeg30,6810,810,6000,0,0.9216847736625514,0.9880311319643595,0.8449339207048459,0.4678333333333333,
