ok,container,mode,width,height,n_bytes,truncated,has_exif,n_exif_tags,exif_orientation,has_icc,n_text_chunks,metadata_keys,generator_marker,jpeg_quality_hint,error,image_path,label,klass,declared_width,declared_height,megapixels,is_1024sq,bytes_per_pixel,is_square,container_is_png,has_icc_int
True,jpeg,RGB,1024,681,386546,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/real/91995094dd129257.jpg,0,real,1024,681,0.697344,False,0.5543117887298091,0,0,0
True,jpeg,RGB,1024,1024,90425,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/tampered/tampered_06400.jpg,1,tampered,1024,1024,1.048576,True,0.08623600006103516,1,0,0
True,png,RGB,1024,1024,1125636,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/full_synthetic/full_synthetic_004934.png,1,full_synthetic,1024,1024,1.048576,True,1.0734901428222656,1,1,0
True,jpeg,RGB,1024,1024,179927,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/real/58c66c4583de8bf5.jpg,0,real,1024,1024,1.048576,True,0.17159175872802734,1,0,0
True,jpeg,RGB,1024,1024,97082,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/tampered/tampered_08645.jpg,1,tampered,1024,1024,1.048576,True,0.09258460998535156,1,0,0
True,jpeg,RGB,1024,1024,136742,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/tampered/tampered_005250.jpg,1,tampered,1024,1024,1.048576,True,0.13040733337402344,1,0,0
True,jpeg,RGB,1024,1024,217170,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/tampered/tampered_02533.jpg,1,tampered,1024,1024,1.048576,True,0.2071094512939453,1,0,0
True,jpeg,RGB,961,1024,894055,False,False,0,,True,0,,,,,data/audit_sample/sid_set/images/real/d953914a018b80ad.jpg,0,real,961,1024,0.984064,False,0.9085333880723205,0,0,1
True,jpeg,RGB,1024,732,65192,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/real/9a99796dffaaa7d3.jpg,0,real,1024,732,0.749568,False,0.08697276297814208,0,0,0
True,png,RGB,1024,1024,915090,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/full_synthetic/full_synthetic_002764.png,1,full_synthetic,1024,1024,1.048576,True,0.8726978302001953,1,1,0
True,jpeg,RGB,1024,654,202488,False,False,0,,True,0,,,,,data/audit_sample/sid_set/images/real/8bd5cae6314172b9.jpg,0,real,1024,654,0.669696,False,0.3023580848623853,0,0,1
True,jpeg,RGB,1024,1024,149547,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/real/42e7a4cbf61fd493.jpg,0,real,1024,1024,1.048576,True,0.14261913299560547,1,0,0
True,png,RGB,1024,1024,1015725,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/full_synthetic/full_synthetic_007473.png,1,full_synthetic,1024,1024,1.048576,True,0.9686708450317383,1,1,0
True,png,RGB,1024,1024,975869,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/full_synthetic/full_synthetic_000702.png,1,full_synthetic,1024,1024,1.048576,True,0.9306612014770508,1,1,0
True,png,RGB,1024,1024,1392840,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/full_synthetic/full_synthetic_001094.png,1,full_synthetic,1024,1024,1.048576,True,1.3283157348632812,1,1,0
True,jpeg,RGB,1024,768,171179,False,False,0,,True,0,,,,,data/audit_sample/sid_set/images/real/2220f1ab609f0843.jpg,0,real,1024,768,0.786432,False,0.21766535441080728,0,0,1
True,jpeg,RGB,1024,1024,107360,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/tampered/tampered_06229.jpg,1,tampered,1024,1024,1.048576,True,0.102386474609375,1,0,0
True,jpeg,RGB,768,1024,101716,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/real/76bb9873db655e13.jpg,0,real,768,1024,0.786432,False,0.12933858235677084,0,0,0
True,jpeg,RGB,1024,768,235796,False,False,0,,True,0,,,,,data/audit_sample/sid_set/images/real/1034c6557e9fb8c1.jpg,0,real,1024,768,0.786432,False,0.2998301188151042,0,0,1
True,jpeg,RGB,1024,1024,166678,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/tampered/tampered_05143.jpg,1,tampered,1024,1024,1.048576,True,0.15895652770996094,1,0,0
True,png,RGB,1024,1024,1287331,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/full_synthetic/full_synthetic_004989.png,1,full_synthetic,1024,1024,1.048576,True,1.2276945114135742,1,1,0
True,png,RGB,1024,1024,1697693,False,False,0,,False,0,,,,,data/audit_sample/sid_set/images/full_synthetic/full_synthetic_001311.png,1,full_synthetic,1024,1024,1.048576,True,1.6190462112426758,1,1,0
True,jpeg,RGB,680,1024,151754,False,False,0,,True,0,,,,,data/audit_sample/sid_set/images/real/f2b02fe7b2ddcb9c.jpg,0,real,680,1024,0.69632,False,0.21793715533088234,0,0,1
