cell,kind,family,severity,chain,n,n_real,n_fake,n_failed,auroc,ap,acc,tpr_at_fpr1,notes
clean,clean,clean,,clean,6810,810,6000,0,0.9778724279835391,0.996822551381251,0.9202643171806167,0.759,
jpeg_90,single,jpeg,90,jpeg90,6810,810,6000,0,0.9752098765432098,0.9964284708435018,0.9198237885462555,0.7303333333333333,
jpeg_70,single,jpeg,70,jpeg70,6810,810,6000,0,0.9715199588477367,0.9959372454057324,0.9195301027900147,0.7141666666666666,
jpeg_50,single,jpeg,50,jpeg50,6810,810,6000,0,0.9676693415637859,0.9953721543426768,0.8945668135095448,0.6978333333333333,
jpeg_30,single,jpeg,30,jpeg30,6810,810,6000,0,0.966783950617284,0.995226397983857,0.8969162995594714,0.7063333333333334,
blur_0.5,single,blur,0.5,blur0.5,6810,810,6000,0,0.9773588477366253,0.9967418096982127,0.9174743024963289,0.744,
blur_1.0,single,blur,1.0,blur1.0,6810,810,6000,0,0.9761265432098765,0.9965550827231338,0.9033773861967694,0.7521666666666667,
blur_2.0,single,blur,2.0,blur2.0,6810,810,6000,0,0.972437037037037,0.9960320016029293,0.9074889867841409,0.7313333333333333,
resize_0.5,single,resize,0.5,resize0.5,6810,810,6000,0,0.9772008230452676,0.996747913757806,0.903230543318649,0.7705,
resize_0.25,single,resize,0.25,resize0.25,6810,810,6000,0,0.972096913580247,0.996013402303375,0.882525697503671,0.7495,
noise_0.02,single,noise,0.02,noise0.02,6810,810,6000,0,0.9699425925925926,0.9957425160994203,0.9161527165932453,0.7308333333333333,
noise_0.05,single,noise,0.05,noise0.05,6810,810,6000,0,0.9617641975308643,0.9945669891521229,0.8961820851688693,0.6788333333333333,
noise_0.1,single,noise,0.1,noise0.1,6810,810,6000,0,0.9526100823045267,0.9932008510804538,0.8627019089574156,0.6646666666666666,
jitter_0.2,single,jitter,0.2,jitter0.2,6810,810,6000,0,0.9730037037037038,0.996099623927937,0.9185022026431718,0.7148333333333333,
center_crop_0.8,single,center_crop,0.8,center_crop0.8,6810,810,6000,0,0.9727989711934156,0.9961060505423437,0.9290748898678414,0.723,
composed_blur1.0+jpeg70,composed,composed,,blur1.0+jpeg70,6810,810,6000,0,0.9694265432098765,0.995623626167301,0.9152716593245228,0.6923333333333334,
composed_resize0.5+jpeg50,composed,composed,,resize0.5+jpeg50,6810,810,6000,0,0.9680940329218106,0.9954258708225743,0.9023494860499266,0.713,
composed_jitter0.2+jpeg30,composed,composed,,jitter0.2+jpeg30,6810,810,6000,0,0.9615576131687243,0.9944144676795398,0.8920704845814978,0.6276666666666667,
composed_resize0.25+blur0.5+jpeg30,composed,composed,,resize0.25+blur0.5+jpeg30,6810,810,6000,0,0.9565724279835391,0.993650942092215,0.8466960352422908,0.6408333333333334,
