cell,kind,family,severity,chain,n,n_real,n_fake,n_failed,auroc,ap,acc,tpr_at_fpr1,notes
clean,clean,clean,,clean,6810,810,6000,0,0.9809574074074074,0.9972501932185145,0.9245227606461086,0.7398333333333333,
jpeg_90,single,jpeg,90,jpeg90,6810,810,6000,0,0.9764765432098765,0.9965913350841151,0.9215859030837005,0.7541666666666667,
jpeg_70,single,jpeg,70,jpeg70,6810,810,6000,0,0.9710086419753086,0.9958341939018214,0.915712187958884,0.725,
jpeg_50,single,jpeg,50,jpeg50,6810,810,6000,0,0.9677080246913582,0.9953303828996906,0.8920704845814978,0.668,
jpeg_30,single,jpeg,30,jpeg30,6810,810,6000,0,0.9642290123456789,0.9947920107079048,0.8875183553597651,0.6351666666666667,
blur_0.5,single,blur,0.5,blur0.5,6810,810,6000,0,0.9802514403292181,0.9971400024188986,0.9180616740088106,0.74,
blur_1.0,single,blur,1.0,blur1.0,6810,810,6000,0,0.9789131687242798,0.9969363681206753,0.890014684287812,0.7415,
blur_2.0,single,blur,2.0,blur2.0,6810,810,6000,0,0.9741613168724279,0.9962837201729535,0.8621145374449339,0.7021666666666667,
resize_0.5,single,resize,0.5,resize0.5,6810,810,6000,0,0.9805792181069959,0.9972202137331174,0.8906020558002937,0.7645,
resize_0.25,single,resize,0.25,resize0.25,6810,810,6000,0,0.9741767489711934,0.9963238599220618,0.8098384728340675,0.7465,
noise_0.02,single,noise,0.02,noise0.02,6810,810,6000,0,0.9700016460905351,0.9957067093603494,0.916446402349486,0.6705,
noise_0.05,single,noise,0.05,noise0.05,6810,810,6000,0,0.9604340534979424,0.9943107991541267,0.8814977973568282,0.6528333333333334,
noise_0.1,single,noise,0.1,noise0.1,6810,810,6000,0,0.9501183127572016,0.9927550126796464,0.8317180616740089,0.6221666666666666,
jitter_0.2,single,jitter,0.2,jitter0.2,6810,810,6000,0,0.9752981481481481,0.9963936676849025,0.92143906020558,0.7156666666666667,
center_crop_0.8,single,center_crop,0.8,center_crop0.8,6810,810,6000,0,0.9765588477366255,0.9966532942642932,0.9350954478707783,0.7315,
composed_blur1.0+jpeg70,composed,composed,,blur1.0+jpeg70,6810,810,6000,0,0.9676635802469137,0.9953339626104505,0.9007342143906021,0.6931666666666667,
composed_resize0.5+jpeg50,composed,composed,,resize0.5+jpeg50,6810,810,6000,0,0.9669022633744856,0.9951865387626727,0.8942731277533039,0.671,
composed_jitter0.2+jpeg30,composed,composed,,jitter0.2+jpeg30,6810,810,6000,0,0.9581672839506173,0.9938414300843161,0.8798825256975037,0.5978333333333333,
composed_resize0.25+blur0.5+jpeg30,composed,composed,,resize0.25+blur0.5+jpeg30,6810,810,6000,0,0.9483641975308643,0.9923006207241261,0.7569750367107195,0.559,
