cell,kind,family,severity,chain,n,n_real,n_fake,n_failed,auroc,ap,acc,tpr_at_fpr1,notes
clean,clean,clean,,clean,113,21,92,0,0.8586956521739131,0.9624357164722228,0.20353982300884957,0.44565217391304346,TPR@FPR=1% degenerate: 21 reals < 100
jpeg_90,single,jpeg,90,jpeg90,113,21,92,0,0.8685300207039338,0.9670105573693139,0.20353982300884957,0.5,TPR@FPR=1% degenerate: 21 reals < 100
jpeg_70,single,jpeg,70,jpeg70,113,21,92,0,0.8504140786749482,0.9654207034875062,0.21238938053097345,0.6413043478260869,TPR@FPR=1% degenerate: 21 reals < 100
jpeg_50,single,jpeg,50,jpeg50,113,21,92,0,0.8467908902691512,0.963257461276081,0.20353982300884957,0.5108695652173914,TPR@FPR=1% degenerate: 21 reals < 100
jpeg_30,single,jpeg,30,jpeg30,113,21,92,0,0.8514492753623188,0.9641789532406667,0.19469026548672566,0.5434782608695652,TPR@FPR=1% degenerate: 21 reals < 100
blur_0.5,single,blur,0.5,blur0.5,113,21,92,0,0.8561076604554866,0.9614695171331928,0.19469026548672566,0.391304347826087,TPR@FPR=1% degenerate: 21 reals < 100
blur_1.0,single,blur,1.0,blur1.0,113,21,92,0,0.8643892339544513,0.9635802375242657,0.19469026548672566,0.32608695652173914,TPR@FPR=1% degenerate: 21 reals < 100
blur_2.0,single,blur,2.0,blur2.0,113,21,92,0,0.8799171842650105,0.9685071953319246,0.18584070796460178,0.40217391304347827,TPR@FPR=1% degenerate: 21 reals < 100
resize_0.5,single,resize,0.5,resize0.5,113,21,92,0,0.8607660455486542,0.964483457968101,0.19469026548672566,0.43478260869565216,TPR@FPR=1% degenerate: 21 reals < 100
resize_0.25,single,resize,0.25,resize0.25,113,21,92,0,0.8416149068322981,0.9564101874035147,0.18584070796460178,0.2717391304347826,TPR@FPR=1% degenerate: 21 reals < 100
noise_0.02,single,noise,0.02,noise0.02,113,21,92,0,0.8597308488612835,0.9664401199408709,0.19469026548672566,0.4891304347826087,TPR@FPR=1% degenerate: 21 reals < 100
noise_0.05,single,noise,0.05,noise0.05,113,21,92,0,0.813664596273292,0.9496769446103359,0.18584070796460178,0.32608695652173914,TPR@FPR=1% degenerate: 21 reals < 100
noise_0.1,single,noise,0.1,noise0.1,113,21,92,0,0.7934782608695653,0.9405226589081974,0.18584070796460178,0.2608695652173913,TPR@FPR=1% degenerate: 21 reals < 100
jitter_0.2,single,jitter,0.2,jitter0.2,113,21,92,0,0.8436853002070394,0.9605218645138642,0.20353982300884957,0.43478260869565216,TPR@FPR=1% degenerate: 21 reals < 100
center_crop_0.8,single,center_crop,0.8,center_crop0.8,113,21,92,0,0.8752587991718426,0.9692640836022794,0.18584070796460178,0.4891304347826087,TPR@FPR=1% degenerate: 21 reals < 100
composed_blur1.0+jpeg70,composed,composed,,blur1.0+jpeg70,113,21,92,0,0.8317805383022776,0.9582901957989884,0.19469026548672566,0.44565217391304346,TPR@FPR=1% degenerate: 21 reals < 100
composed_resize0.5+jpeg50,composed,composed,,resize0.5+jpeg50,113,21,92,0,0.8426501035196687,0.9588420782860012,0.19469026548672566,0.3804347826086957,TPR@FPR=1% degenerate: 21 reals < 100
composed_jitter0.2+jpeg30,composed,composed,,jitter0.2+jpeg30,113,21,92,0,0.8027950310559006,0.9480180286297872,0.19469026548672566,0.33695652173913043,TPR@FPR=1% degenerate: 21 reals < 100
composed_resize0.25+blur0.5+jpeg30,composed,composed,,resize0.25+blur0.5+jpeg30,113,21,92,0,0.832815734989648,0.9478835619424064,0.19469026548672566,0.21739130434782608,TPR@FPR=1% degenerate: 21 reals < 100
