cell,kind,family,severity,chain,n,n_real,n_fake,n_failed,auroc,ap,acc,tpr_at_fpr1,notes
clean,clean,clean,,clean,400,200,200,0,0.5427500000000001,0.531542747295487,0.5475,0.015,
jpeg_90,single,jpeg,90,jpeg90,400,200,200,0,0.487925,0.5202207507259543,0.4875,0.035,
jpeg_70,single,jpeg,70,jpeg70,400,200,200,0,0.4987250000000001,0.48754320073109336,0.5175,0.0,
jpeg_50,single,jpeg,50,jpeg50,400,200,200,0,0.5149,0.5233157917597937,0.5175,0.025,
jpeg_30,single,jpeg,30,jpeg30,400,200,200,0,0.48249999999999993,0.49992794707016286,0.4875,0.03,
blur_0.5,single,blur,0.5,blur0.5,400,200,200,0,0.478575,0.48464738440239946,0.485,0.005,
blur_1.0,single,blur,1.0,blur1.0,400,200,200,0,0.47197500000000003,0.4995395491248231,0.475,0.01,
blur_2.0,single,blur,2.0,blur2.0,400,200,200,0,0.48095,0.48935838428141515,0.4925,0.01,
resize_0.5,single,resize,0.5,resize0.5,400,200,200,0,0.5173,0.5067475960556719,0.51,0.01,
resize_0.25,single,resize,0.25,resize0.25,400,200,200,0,0.509275,0.4964076556589836,0.5,0.005,
noise_0.02,single,noise,0.02,noise0.02,400,200,200,0,0.535575,0.5436935927810669,0.535,0.04,
noise_0.05,single,noise,0.05,noise0.05,400,200,200,0,0.5361,0.5220754116028444,0.51,0.01,
noise_0.1,single,noise,0.1,noise0.1,400,200,200,0,0.4748,0.4777654774491569,0.4825,0.0,
jitter_0.2,single,jitter,0.2,jitter0.2,400,200,200,0,0.5023249999999999,0.5012498563779666,0.505,0.01,
center_crop_0.8,single,center_crop,0.8,center_crop0.8,400,200,200,0,0.48674999999999996,0.4794541678996813,0.4825,0.0,
composed_blur1.0+jpeg70,composed,composed,,blur1.0+jpeg70,400,200,200,0,0.49682499999999996,0.5018265061964771,0.505,0.01,
composed_resize0.5+jpeg50,composed,composed,,resize0.5+jpeg50,400,200,200,0,0.5203,0.5173156046812976,0.525,0.01,
composed_jitter0.2+jpeg30,composed,composed,,jitter0.2+jpeg30,400,200,200,0,0.5292,0.5458521858918004,0.4975,0.04,
composed_resize0.25+blur0.5+jpeg30,composed,composed,,resize0.25+blur0.5+jpeg30,400,200,200,0,0.47135000000000005,0.5101716589159223,0.475,0.02,
