cell,kind,family,severity,chain,n,n_real,n_fake,n_failed,auroc,ap,acc,tpr_at_fpr1,notes
clean,clean,clean,,clean,6810,810,6000,0,0.9786444444444444,0.9969670833863501,0.9121879588839942,0.7763333333333333,
jpeg_90,single,jpeg,90,jpeg90,6810,810,6000,0,0.9745876543209877,0.99638573962459,0.9139500734214391,0.762,
jpeg_70,single,jpeg,70,jpeg70,6810,810,6000,0,0.9689397119341564,0.9955781064106248,0.9010279001468429,0.6918333333333333,
jpeg_50,single,jpeg,50,jpeg50,6810,810,6000,0,0.9663948559670781,0.9951893185717589,0.8690161527165933,0.6823333333333333,
jpeg_30,single,jpeg,30,jpeg30,6810,810,6000,0,0.964018621399177,0.9948454544578103,0.8544787077826725,0.6878333333333333,
blur_0.5,single,blur,0.5,blur0.5,6810,810,6000,0,0.9781481481481482,0.9968761493675863,0.9060205580029369,0.779,
blur_1.0,single,blur,1.0,blur1.0,6810,810,6000,0,0.9774909465020576,0.9967448910558491,0.8829662261380323,0.7338333333333333,
blur_2.0,single,blur,2.0,blur2.0,6810,810,6000,0,0.9741886831275721,0.9962829425192586,0.8873715124816446,0.7075,
resize_0.5,single,resize,0.5,resize0.5,6810,810,6000,0,0.9781298353909466,0.9968870514390245,0.8704845814977974,0.7658333333333334,
resize_0.25,single,resize,0.25,resize0.25,6810,810,6000,0,0.9732685185185185,0.9961875470801639,0.8211453744493392,0.7196666666666667,
noise_0.02,single,noise,0.02,noise0.02,6810,810,6000,0,0.9681771604938271,0.9954278639609155,0.9135095447870778,0.679,
noise_0.05,single,noise,0.05,noise0.05,6810,810,6000,0,0.9591187242798354,0.9941286489618142,0.8832599118942731,0.676,
noise_0.1,single,noise,0.1,noise0.1,6810,810,6000,0,0.9484452674897119,0.992519973776594,0.8271659324522761,0.632,
jitter_0.2,single,jitter,0.2,jitter0.2,6810,810,6000,0,0.9719839506172839,0.9959392809073673,0.9058737151248164,0.7286666666666667,
center_crop_0.8,single,center_crop,0.8,center_crop0.8,6810,810,6000,0,0.974098353909465,0.9963427529728994,0.9243759177679882,0.763,
composed_blur1.0+jpeg70,composed,composed,,blur1.0+jpeg70,6810,810,6000,0,0.9652224279835392,0.9950020732642036,0.8864904552129221,0.6895,
composed_resize0.5+jpeg50,composed,composed,,resize0.5+jpeg50,6810,810,6000,0,0.9647946502057614,0.9949396964833315,0.8697503671071953,0.693,
composed_jitter0.2+jpeg30,composed,composed,,jitter0.2+jpeg30,6810,810,6000,0,0.9581487654320987,0.9938917403657344,0.847136563876652,0.6281666666666667,
composed_resize0.25+blur0.5+jpeg30,composed,composed,,resize0.25+blur0.5+jpeg30,6810,810,6000,0,0.9474041152263373,0.992130912648636,0.7669603524229075,0.5606666666666666,
