cell,kind,family,severity,chain,n,n_real,n_fake,n_failed,auroc,ap,acc,tpr_at_fpr1,notes
clean,clean,clean,,clean,113,21,92,0,0.7872670807453416,0.9342959881573409,0.18584070796460178,0.13043478260869565,TPR@FPR=1% degenerate: 21 reals < 100
jpeg_90,single,jpeg,90,jpeg90,113,21,92,0,0.7800207039337475,0.9318293500339345,0.18584070796460178,0.13043478260869565,TPR@FPR=1% degenerate: 21 reals < 100
jpeg_70,single,jpeg,70,jpeg70,113,21,92,0,0.7665631469979296,0.926822881363347,0.18584070796460178,0.15217391304347827,TPR@FPR=1% degenerate: 21 reals < 100
jpeg_50,single,jpeg,50,jpeg50,113,21,92,0,0.7820910973084886,0.9303211453331354,0.18584070796460178,0.15217391304347827,TPR@FPR=1% degenerate: 21 reals < 100
jpeg_30,single,jpeg,30,jpeg30,113,21,92,0,0.7634575569358178,0.9223463183747431,0.18584070796460178,0.11956521739130435,TPR@FPR=1% degenerate: 21 reals < 100
blur_0.5,single,blur,0.5,blur0.5,113,21,92,0,0.7971014492753623,0.937435810505872,0.18584070796460178,0.13043478260869565,TPR@FPR=1% degenerate: 21 reals < 100
blur_1.0,single,blur,1.0,blur1.0,113,21,92,0,0.8281573498964804,0.9476418161082323,0.18584070796460178,0.16304347826086957,TPR@FPR=1% degenerate: 21 reals < 100
blur_2.0,single,blur,2.0,blur2.0,113,21,92,0,0.8731884057971014,0.9651074532231017,0.18584070796460178,0.32608695652173914,TPR@FPR=1% degenerate: 21 reals < 100
resize_0.5,single,resize,0.5,resize0.5,113,21,92,0,0.8095238095238095,0.9423396159107768,0.18584070796460178,0.16304347826086957,TPR@FPR=1% degenerate: 21 reals < 100
resize_0.25,single,resize,0.25,resize0.25,113,21,92,0,0.8390269151138717,0.9525015758448617,0.18584070796460178,0.21739130434782608,TPR@FPR=1% degenerate: 21 reals < 100
noise_0.02,single,noise,0.02,noise0.02,113,21,92,0,0.7753623188405797,0.9323697762709496,0.18584070796460178,0.16304347826086957,TPR@FPR=1% degenerate: 21 reals < 100
noise_0.05,single,noise,0.05,noise0.05,113,21,92,0,0.744824016563147,0.9210461061864309,0.18584070796460178,0.17391304347826086,TPR@FPR=1% degenerate: 21 reals < 100
noise_0.1,single,noise,0.1,noise0.1,113,21,92,0,0.7277432712215322,0.9149370594095858,0.18584070796460178,0.15217391304347827,TPR@FPR=1% degenerate: 21 reals < 100
jitter_0.2,single,jitter,0.2,jitter0.2,113,21,92,0,0.7468944099378882,0.9249977025973501,0.18584070796460178,0.17391304347826086,TPR@FPR=1% degenerate: 21 reals < 100
center_crop_0.8,single,center_crop,0.8,center_crop0.8,113,21,92,0,0.791407867494824,0.9385760992922345,0.18584070796460178,0.14130434782608695,TPR@FPR=1% degenerate: 21 reals < 100
composed_blur1.0+jpeg70,composed,composed,,blur1.0+jpeg70,113,21,92,0,0.8172877846790891,0.9427428538909705,0.18584070796460178,0.20652173913043478,TPR@FPR=1% degenerate: 21 reals < 100
composed_resize0.5+jpeg50,composed,composed,,resize0.5+jpeg50,113,21,92,0,0.8002070393374742,0.935974680150476,0.18584070796460178,0.1956521739130435,TPR@FPR=1% degenerate: 21 reals < 100
composed_jitter0.2+jpeg30,composed,composed,,jitter0.2+jpeg30,113,21,92,0,0.7355072463768115,0.9121928607539143,0.18584070796460178,0.10869565217391304,TPR@FPR=1% degenerate: 21 reals < 100
composed_resize0.25+blur0.5+jpeg30,composed,composed,,resize0.25+blur0.5+jpeg30,113,21,92,0,0.8219461697722568,0.9396604842273921,0.18584070796460178,0.17391304347826086,TPR@FPR=1% degenerate: 21 reals < 100
