cell,family,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr5,tpr5_ci_lo,tpr5_ci_hi
clean,clean,0.7398333333333333,0.6628333333333334,0.8336666666666667,0.9106666666666666,0.8853333333333333,0.927
jpeg_90,jpeg,0.7541666666666667,0.621,0.7923458333333333,0.891,0.8685,0.9045
jpeg_70,jpeg,0.725,0.5888291666666666,0.7833791666666666,0.8615,0.8336625,0.8951666666666667
jpeg_50,jpeg,0.668,0.5869875,0.7311791666666666,0.8575,0.8193041666666667,0.8821708333333333
jpeg_30,jpeg,0.6351666666666667,0.587325,0.7096791666666666,0.8371666666666666,0.8064958333333333,0.8613375
blur_0.5,blur,0.74,0.6549791666666667,0.8307041666666666,0.9086666666666666,0.8751541666666667,0.9226708333333333
blur_1.0,blur,0.7415,0.639,0.8106666666666666,0.9005,0.8839958333333333,0.9156666666666666
blur_2.0,blur,0.7021666666666667,0.5597916666666666,0.79335,0.8781666666666667,0.8373291666666667,0.9038333333333334
resize_0.5,resize,0.7645,0.6916666666666667,0.8221708333333334,0.8983333333333333,0.8813291666666666,0.9146666666666666
resize_0.25,resize,0.7465,0.6724875,0.7956708333333333,0.8785,0.8541541666666667,0.8966708333333333
noise_0.02,noise,0.6705,0.631825,0.7613333333333333,0.8563333333333333,0.8188166666666666,0.8715125
noise_0.05,noise,0.6528333333333334,0.6001624999999999,0.7185,0.8153333333333334,0.7881583333333334,0.83685
noise_0.1,noise,0.6221666666666666,0.5676583333333334,0.6847166666666666,0.767,0.7451625,0.8
jitter_0.2,jitter,0.7156666666666667,0.6438291666666667,0.7876833333333333,0.8645,0.8443291666666667,0.8966708333333333
center_crop_0.8,center_crop,0.7315,0.6025,0.804175,0.8776666666666667,0.839325,0.9065083333333332
composed_blur1.0+jpeg70,composed,0.6931666666666667,0.5499291666666667,0.7536666666666667,0.8358333333333333,0.818325,0.8678416666666666
composed_resize0.5+jpeg50,composed,0.671,0.49520416666666667,0.7308333333333333,0.8443333333333334,0.8023208333333334,0.8711666666666666
composed_jitter0.2+jpeg30,composed,0.5978333333333333,0.48543749999999997,0.6650083333333333,0.8,0.7589833333333333,0.8348791666666666
composed_resize0.25+blur0.5+jpeg30,composed,0.559,0.4600875,0.6380083333333333,0.7308333333333333,0.7068291666666666,0.7906749999999999
