cell,family,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr5,tpr5_ci_lo,tpr5_ci_hi
clean,clean,0.677,0.6407708333333334,0.714,0.8213333333333334,0.7841583333333334,0.8523625
jpeg_90,jpeg,0.5931666666666666,0.5648291666666666,0.6945041666666667,0.8141666666666667,0.7653208333333333,0.8426666666666667
jpeg_70,jpeg,0.5768333333333333,0.494,0.6148541666666667,0.8013333333333333,0.75465,0.8203375
jpeg_50,jpeg,0.5423333333333333,0.4589958333333333,0.6050083333333333,0.7535,0.7114791666666667,0.778
jpeg_30,jpeg,0.4656666666666667,0.422475,0.5841791666666666,0.7366666666666667,0.68415,0.7673375
blur_0.5,blur,0.6623333333333333,0.6199416666666666,0.7023458333333333,0.8121666666666667,0.7806624999999999,0.8405041666666667
blur_1.0,blur,0.632,0.54615,0.6888416666666666,0.8255,0.7804749999999999,0.8435291666666667
blur_2.0,blur,0.6283333333333333,0.5331416666666666,0.6788541666666666,0.8006666666666666,0.7531416666666666,0.8453375000000001
resize_0.5,resize,0.665,0.6222875,0.7255166666666667,0.8193333333333334,0.7969958333333333,0.8561875
resize_0.25,resize,0.6418333333333334,0.5239375000000001,0.6938541666666667,0.8056666666666666,0.7593291666666666,0.8345041666666667
noise_0.02,noise,0.546,0.504725,0.6231666666666666,0.742,0.6953291666666667,0.7681749999999999
noise_0.05,noise,0.4538333333333333,0.397625,0.542025,0.679,0.6383125,0.7291958333333333
noise_0.1,noise,0.41433333333333333,0.33315833333333333,0.5256833333333333,0.6425,0.5794833333333334,0.6758375
jitter_0.2,jitter,0.6225,0.4838291666666667,0.6970541666666665,0.79,0.7629916666666667,0.8290041666666667
center_crop_0.8,center_crop,0.5908333333333333,0.4431625,0.6895166666666667,0.7998333333333333,0.757825,0.838
composed_blur1.0+jpeg70,composed,0.5371666666666667,0.48380416666666665,0.6035083333333333,0.768,0.7174875000000001,0.7955041666666667
composed_resize0.5+jpeg50,composed,0.5446666666666666,0.41973333333333335,0.6120583333333333,0.7301666666666666,0.6877916666666666,0.7646666666666667
composed_jitter0.2+jpeg30,composed,0.5561666666666667,0.43,0.5948375,0.7011666666666667,0.6711583333333333,0.7286666666666667
composed_resize0.25+blur0.5+jpeg30,composed,0.4678333333333333,0.3731083333333333,0.5420208333333334,0.6616666666666666,0.6224875000000001,0.683375
