cell,family,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr5,tpr5_ci_lo,tpr5_ci_hi
clean,clean,0.759,0.6159916666666667,0.8225125,0.8995,0.8726541666666667,0.9128416666666667
jpeg_90,jpeg,0.7303333333333333,0.64665,0.8100333333333334,0.8836666666666667,0.8579958333333333,0.9036666666666666
jpeg_70,jpeg,0.7141666666666666,0.6163,0.7925208333333333,0.8768333333333334,0.8481541666666667,0.899
jpeg_50,jpeg,0.6978333333333333,0.5879666666666666,0.7590041666666667,0.8518333333333333,0.8354958333333333,0.8785041666666666
jpeg_30,jpeg,0.7063333333333334,0.584,0.7363375,0.8491666666666666,0.8183208333333334,0.8731749999999999
blur_0.5,blur,0.744,0.6364458333333333,0.8276708333333334,0.8955,0.8656625,0.9133375
blur_1.0,blur,0.7521666666666667,0.6394624999999999,0.8173416666666666,0.892,0.8726541666666667,0.9046749999999999
blur_2.0,blur,0.7313333333333333,0.5903291666666667,0.8018375,0.8698333333333333,0.8494958333333333,0.8936708333333334
resize_0.5,resize,0.7705,0.6786375,0.8176708333333333,0.8908333333333334,0.8651666666666666,0.9085
resize_0.25,resize,0.7495,0.6383083333333333,0.7885125,0.8733333333333333,0.8434958333333333,0.8953333333333333
noise_0.02,noise,0.7308333333333333,0.6471625,0.7563666666666666,0.8533333333333334,0.8248291666666666,0.8791708333333333
noise_0.05,noise,0.6788333333333333,0.6118291666666666,0.7486708333333334,0.825,0.7923291666666666,0.8521666666666666
noise_0.1,noise,0.6646666666666666,0.5764625,0.7091916666666666,0.7956666666666666,0.7629958333333333,0.8175125
jitter_0.2,jitter,0.7148333333333333,0.6205,0.7733375,0.8623333333333333,0.8308333333333333,0.894675
center_crop_0.8,center_crop,0.723,0.6178250000000001,0.7645791666666666,0.8653333333333333,0.8298208333333333,0.8936708333333334
composed_blur1.0+jpeg70,composed,0.6923333333333334,0.6086625,0.7850166666666667,0.8623333333333333,0.8331625,0.8828375
composed_resize0.5+jpeg50,composed,0.713,0.5759958333333333,0.7868583333333333,0.8463333333333334,0.815,0.8771666666666667
composed_jitter0.2+jpeg30,composed,0.6276666666666667,0.52345,0.7143666666666667,0.8228333333333333,0.7885,0.8430083333333332
composed_resize0.25+blur0.5+jpeg30,composed,0.6408333333333334,0.5617791666666666,0.6855041666666667,0.7875,0.7634916666666667,0.8260124999999999
